sample	genotype	metabolite	level
C32-1	C32	7epiZ	0
C32-2	C32	7epiZ	0
C32-3	C32	7epiZ	0
C32-4	C32	7epiZ	0
PI127826-1	PI127826	7epiZ	15.44
PI127826-2	PI127826	7epiZ	29.54
PI127826-3	PI127826	7epiZ	60.22
F2-4-1	4	7epiZ	2.73
F2-4-2	4	7epiZ	1.63
F2-4-3	4	7epiZ	2.13
F2-4-4	4	7epiZ	3.39
F2-14-1	14	7epiZ	0.92
F2-14-2	14	7epiZ	1
F2-14-3	14	7epiZ	0.76
F2-14-4	14	7epiZ	1.04
F2-18-1	18	7epiZ	60.64
F2-18-2	18	7epiZ	95.32
F2-18-3	18	7epiZ	97.77
F2-18-4	18	7epiZ	44.13
F2-30-1	30	7epiZ	3.81
F2-30-2	30	7epiZ	3.36
F2-30-3	30	7epiZ	3.87
F2-30-4	30	7epiZ	4.32
F2-34-1	34	7epiZ	5.02
F2-34-2	34	7epiZ	3.91
F2-34-3	34	7epiZ	6.61
F2-35-1	35	7epiZ	9.76
F2-35-2	35	7epiZ	5.93
F2-35-3	35	7epiZ	8.41
F2-35-4	35	7epiZ	10.14
C32-1	C32	9HZ	0
C32-2	C32	9HZ	0
C32-3	C32	9HZ	0
C32-4	C32	9HZ	0
PI127826-1	PI127826	9HZ	1.43
PI127826-2	PI127826	9HZ	4.19
PI127826-3	PI127826	9HZ	10.97
F2-4-1	4	9HZ	0.82
F2-4-2	4	9HZ	0.43
F2-4-3	4	9HZ	0.49
F2-4-4	4	9HZ	0.63
F2-14-1	14	9HZ	0.07
F2-14-2	14	9HZ	0.39
F2-14-3	14	9HZ	0.26
F2-14-4	14	9HZ	0
F2-18-1	18	9HZ	0
F2-18-2	18	9HZ	0
F2-18-3	18	9HZ	0
F2-18-4	18	9HZ	0
F2-30-1	30	9HZ	0.96
F2-30-2	30	9HZ	1.05
F2-30-3	30	9HZ	1.94
F2-30-4	30	9HZ	0.94
F2-34-1	34	9HZ	1.21
F2-34-2	34	9HZ	0.89
F2-34-3	34	9HZ	2.04
F2-35-1	35	9HZ	2.04
F2-35-2	35	9HZ	1.13
F2-35-3	35	9HZ	1.22
F2-35-4	35	9HZ	2.43
C32-1	C32	9H10epoZ	0
C32-2	C32	9H10epoZ	0
C32-3	C32	9H10epoZ	0
C32-4	C32	9H10epoZ	0
PI127826-1	PI127826	9H10epoZ	1.91
PI127826-2	PI127826	9H10epoZ	2.22
PI127826-3	PI127826	9H10epoZ	2.36
F2-4-1	4	9H10epoZ	1.25
F2-4-2	4	9H10epoZ	1.13
F2-4-3	4	9H10epoZ	0.92
F2-4-4	4	9H10epoZ	2.23
F2-14-1	14	9H10epoZ	0.3
F2-14-2	14	9H10epoZ	0.58
F2-14-3	14	9H10epoZ	0.71
F2-14-4	14	9H10epoZ	0
F2-18-1	18	9H10epoZ	0
F2-18-2	18	9H10epoZ	0
F2-18-3	18	9H10epoZ	0
F2-18-4	18	9H10epoZ	0
F2-30-1	30	9H10epoZ	1.21
F2-30-2	30	9H10epoZ	0.85
F2-30-3	30	9H10epoZ	2.15
F2-30-4	30	9H10epoZ	1.23
F2-34-1	34	9H10epoZ	2.08
F2-34-2	34	9H10epoZ	0.68
F2-34-3	34	9H10epoZ	2.16
F2-35-1	35	9H10epoZ	3.24
F2-35-2	35	9H10epoZ	2.26
F2-35-3	35	9H10epoZ	2.93
F2-35-4	35	9H10epoZ	4.58
