sample	assay_data	genotype	plant	clip-cage	alive	dead
20150709_4_1_A	20150709	4	1	A	6	1
20150709_4_1_B	20150709	4	1	B	10	2
20150709_4_2_A	20150709	4	2	A	7	6
20150709_4_2_B	20150709	4	2	B	7	6
20150709_4_3_A	20150709	4	3	A	6	9
20150709_4_3_B	20150709	4	3	B	10	8
20150709_4_4_A	20150709	4	4	A	7	3
20150709_4_4_B	20150709	4	4	B	6	6
20150709_14_1_A	20150709	14	1	A	4	9
20150709_14_1_B	20150709	14	1	B	6	9
20150709_14_2_A	20150709	14	2	A	5	10
20150709_14_2_B	20150709	14	2	B	6	3
20150709_18_1_A	20150709	18	1	A	10	1
20150709_18_1_B	20150709	18	1	B	16	2
20150709_18_2_A	20150709	18	2	A	13	1
20150709_18_2_B	20150709	18	2	B	8	1
20150709_18_3_A	20150709	18	3	A	10	2
20150709_18_3_B	20150709	18	3	B	10	2
20150709_30_1_A	20150709	30	1	A	8	5
20150709_30_1_B	20150709	30	1	B	14	4
20150709_30_2_A	20150709	30	2	A	5	8
20150709_30_2_B	20150709	30	2	B	6	9
20150709_30_3_A	20150709	30	3	A	5	8
20150709_30_3_B	20150709	30	3	B	2	6
20150709_30_4_A	20150709	30	4	A	3	8
20150709_30_4_B	20150709	30	4	B	1	7
20150709_34_1_A	20150709	34	1	A	6	1
20150709_34_1_B	20150709	34	1	B	10	2
20150709_34_2_A	20150709	34	2	A	9	5
20150709_34_2_B	20150709	34	2	B	9	3
20150709_34_3_A	20150709	34	3	A	12	5
20150709_34_3_B	20150709	34	3	B	6	3
20150709_35_1_A	20150709	35	1	A	10	1
20150709_35_1_B	20150709	35	1	B	7	3
20150709_35_2_A	20150709	35	2	A	6	8
20150709_35_2_B	20150709	35	2	B	8	4
20150709_35_3_A	20150709	35	3	A	9	6
20150709_35_3_B	20150709	35	3	B	12	3
20150709_35_4_A	20150709	35	4	A	5	5
20150709_35_4_B	20150709	35	4	B	12	5
20150709_PI127826_1_A	20150709	PI127826	1	A	0	16
20150709_PI127826_1_B	20150709	PI127826	1	B	0	15
20150709_PI127826_2_A	20150709	PI127826	2	A	0	10
20150709_PI127826_2_B	20150709	PI127826	2	B	1	9
20150709_PI127826_3_A	20150709	PI127826	3	A	0	9
20150709_PI127826_3_B	20150709	PI127826	3	B	0	24
20150709_PI127826_4_A	20150709	PI127826	4	A	1	11
20150709_PI127826_4_B	20150709	PI127826	4	B	0	9
20150709_C32_1_A	20150709	C32	1	A	14	4
20150709_C32_1_B	20150709	C32	1	B	8	3
20150709_C32_2_A	20150709	C32	2	A	12	4
20150709_C32_2_B	20150709	C32	2	B	9	4
20150709_C32_3_A	20150709	C32	3	A	11	2
20150709_C32_3_B	20150709	C32	3	B	7	1
20150709_C32_4_A	20150709	C32	4	A	15	2
20150709_C32_4_B	20150709	C32	4	B	14	3
20150213_PI127826_1_A	20150213	PI127826	1	A	3	12
20150213_PI127826_1_B	20150213	PI127826	1	B	2	13
20150213_PI127826_2_A	20150213	PI127826	2	A	1	14
20150213_PI127826_2_B	20150213	PI127826	2	B	1	14
20150213_C32_1_A	20150213	C32	1	A	15	0
20150213_C32_1_B	20150213	C32	1	B	14	1
20150213_C32_2_A	20150213	C32	2	A	12	1
20150213_C32_2_B	20150213	C32	2	B	14	0
20150213_5_1_A	20150213	5	1	A	9	1
20150213_5_1_B	20150213	5	1	B	14	1
20150213_6_1_A	20150213	6	1	A	3	11
20150213_6_1_B	20150213	6	1	B	0	16
20150213_8_1_A	20150213	8	1	A	9	2
20150213_8_1_B	20150213	8	1	B	11	2
20150213_10_1_B	20150213	10	1	B	6	4
20150213_12_1_A	20150213	12	1	A	8	7
20150213_14_1_A	20150213	14	1	A	0	14
20150213_14_1_B	20150213	14	1	B	0	13
20150213_14_2_A	20150213	14	2	A	7	8
20150213_14_2_B	20150213	14	2	B	4	10
20150213_18_1_A	20150213	18	1	A	15	0
20150213_18_1_B	20150213	18	1	B	14	0
