"diff"	"lwr"	"upr"	"p adj"
"10-1"	0.0620000000000001	-0.232690407695593	0.356690407695593	0.968450898630323
"20-1"	0.0580000000000001	-0.236690407695593	0.352690407695593	0.975193904196687
"50-1"	0.0720000000000001	-0.222690407695593	0.366690407695593	0.946634395931422
"mock-1"	-0.052	-0.346690407695593	0.242690407695593	0.983377383796232
"20-10"	-0.004	-0.298690407695593	0.290690407695593	0.999999322332684
"50-10"	0.01	-0.284690407695593	0.304690407695593	0.999973656594857
"mock-10"	-0.114	-0.408690407695593	0.180690407695593	0.77446256526485
"50-20"	0.014	-0.280690407695593	0.308690407695593	0.99989935739067
"mock-20"	-0.11	-0.404690407695593	0.184690407695593	0.795819693871939
"mock-50"	-0.124	-0.418690407695593	0.170690407695593	0.717956060674972
