"diff"	"lwr"	"upr"	"p adj"
"10-1"	0.00800000000000001	-0.81870595697207	0.83470595697207	0.999999824856705
"20-1"	-0.202	-1.02870595697207	0.62470595697207	0.946620086572495
"50-1"	-0.366	-1.19270595697207	0.46070595697207	0.679627429254698
"mock-1"	-0.176	-1.00270595697207	0.65070595697207	0.96708836171585
"20-10"	-0.21	-1.03670595697207	0.61670595697207	0.939028098496533
"50-10"	-0.374	-1.20070595697207	0.45270595697207	0.662414004231547
"mock-10"	-0.184	-1.01070595697207	0.64270595697207	0.961459046591631
"50-20"	-0.164	-0.99070595697207	0.66270595697207	0.974472843355337
"mock-20"	0.026	-0.80070595697207	0.85270595697207	0.999980547374862
"mock-50"	0.19	-0.63670595697207	1.01670595697207	0.956852199997615
