metabolite	assay_number	dose_ug_cm2	replicate	dead	alive	survival	relative_survival_to_mock
7epiZ	1	mock	1	7	9	56.25	0.82
7epiZ	1	mock	2	2	12	85.71	1.25
7epiZ	1	mock	3	8	7	46.67	0.68
7epiZ	1	mock	4	4	13	76.47	1.12
7epiZ	1	mock	5	3	10	76.92	1.12
7epiZ	1	1	1	4	11	73.33	1.07
7epiZ	1	1	2	4	10	71.43	1.04
7epiZ	1	1	3	5	8	61.54	0.9
7epiZ	1	1	4	3	12	80	1.17
7epiZ	1	1	5	4	11	73.33	1.07
7epiZ	1	10	1	4	13	76.47	1.12
7epiZ	1	10	2	3	10	76.92	1.12
7epiZ	1	10	3	3	10	76.92	1.12
7epiZ	1	10	4	4	12	75	1.1
7epiZ	1	10	5	3	9	75	1.1
7epiZ	1	20	1	4	14	77.78	1.14
7epiZ	1	20	2	3	10	76.92	1.12
7epiZ	1	20	3	6	8	57.14	0.84
7epiZ	1	20	4	2	10	83.33	1.22
7epiZ	1	20	5	2	10	83.33	1.22
7epiZ	1	50	1	5	8	61.54	0.9
7epiZ	1	50	2	4	12	75	1.1
7epiZ	1	50	3	3	12	80	1.17
7epiZ	1	50	4	3	8	72.73	1.06
7epiZ	1	50	5	1	16	94.12	1.38
9HZ	2	mock	1	10	6	37.5	1.03
9HZ	2	mock	2	7	5	41.67	1.14
9HZ	2	mock	3	11	4	26.67	0.73
9HZ	2	mock	4	9	7	43.75	1.2
9HZ	2	mock	5	10	5	33.33	0.91
9HZ	2	1	1	5	10	66.67	1.82
9HZ	2	1	2	12	5	29.41	0.8
9HZ	2	1	3	11	4	26.67	0.73
9HZ	2	1	4	8	11	57.89	1.58
9HZ	2	1	5	11	6	35.29	0.96
9HZ	2	10	1	9	5	35.71	0.98
9HZ	2	10	2	9	7	43.75	1.2
9HZ	2	10	3	9	5	35.71	0.98
9HZ	2	10	4	12	4	25	0.68
9HZ	2	10	5	4	13	76.47	2.09
9HZ	2	20	1	11	4	26.67	0.73
9HZ	2	20	2	7	9	56.25	1.54
9HZ	2	20	3	16	1	5.88	0.16
9HZ	2	20	4	8	7	46.67	1.28
9HZ	2	20	5	8	6	42.86	1.17
9HZ	2	50	1	13	6	31.58	0.86
9HZ	2	50	2	7	4	36.36	0.99
9HZ	2	50	3	10	2	16.67	0.46
9HZ	2	50	4	9	7	43.75	1.2
9HZ	2	50	5	12	3	20	0.55
9H10epoZ	3	mock	1	13	2	13.33	0.35
9H10epoZ	3	mock	2	5	11	68.75	1.79
9H10epoZ	3	mock	3	12	3	20	0.52
9H10epoZ	3	mock	4	7	10	58.82	1.53
9H10epoZ	3	mock	5	13	6	31.58	0.82
9H10epoZ	3	1	1	8	9	52.94	1.38
9H10epoZ	3	1	2	8	7	46.67	1.21
9H10epoZ	3	1	3	10	5	33.33	0.87
9H10epoZ	3	1	4	11	6	35.29	0.92
9H10epoZ	3	1	5	5	10	66.67	1.73
9H10epoZ	4	mock	1	6	10	62.5	1.04
9H10epoZ	4	mock	2	8	8	50	0.83
9H10epoZ	4	mock	3	5	11	68.75	1.15
9H10epoZ	4	mock	4	6	6	50	0.83
9H10epoZ	4	mock	5	5	11	68.75	1.15
9H10epoZ	4	10	1	13	5	27.78	0.46
9H10epoZ	4	10	2	12	3	20	0.33
9H10epoZ	4	10	3	7	5	41.67	0.69
9H10epoZ	4	10	4	14	3	17.65	0.29
9H10epoZ	4	10	5	13	3	18.75	0.31
9H10epoZ	3	20	1	17	2	10.53	0.27
9H10epoZ	3	20	2	13	2	13.33	0.35
9H10epoZ	3	20	3	15	2	11.76	0.31
9H10epoZ	3	20	4	16	1	5.88	0.15
9H10epoZ	3	20	5	11	4	26.67	0.69
9H10epoZ	5	mock	1	15	4	21.05	1.09
9H10epoZ	5	mock	2	13	3	18.75	0.98
9H10epoZ	5	mock	3	10	4	28.57	1.49
9H10epoZ	5	mock	4	13	5	27.78	1.44
9H10epoZ	5	mock	5	18	0	0	0
9H10epoZ	5	50	1	19	1	5	0.26
9H10epoZ	5	50	2	20	1	4.76	0.25
9H10epoZ	5	50	3	17	3	15	0.78
9H10epoZ	5	50	4	19	1	5	0.26
9H10epoZ	5	50	5	22	0	0	0
